title,subject,type,id,family_name,given_name
Zur Kenntnis der Blut-Gehirnschranke: Cardiazolschock und Schrankenzusammenbruch.,Anatomie,Habilitation,f5480015-36d0-c264-d90e-4eb130ea7c9c,Leonhardt,Helmut
Über Aconitase.,Medizin,Dissertation,f5480015-36d0-c264-d90e-4eb130ea7c9c,Leonhardt,Helmut
,Chemie,Habilitation,4182e3fc-fabc-0922-202f-4d4c602ba433,Pestemer,Max
,Chemie,Dissertation,4182e3fc-fabc-0922-202f-4d4c602ba433,Pestemer,Max
"Die Entstehung der Landeshoheit des Trierer Erzbischofs zwischen Saar, Mosel und Ruwer und ihr Kampf mit den patrimonialen Gewalten.",Geschichte,Dissertation,3a0ad9d7-9919-0e5c-42d4-4d4c6052f657,Rörig,Friedrich Hermann
,Physik,Habilitation,3731952d-0cc8-0f9a-5ba1-4d4c601aaba4,Zahn,Hermann
Photometrie gefärbter Flammen.,Physik,Dissertation,3731952d-0cc8-0f9a-5ba1-4d4c601aaba4,Zahn,Hermann
Phosphorvergiftung oder akute gelbe Leberatrophie.,Medizin,Dissertation,7f8006b2-ccad-69ce-5dfc-4d4c607e7a6d,Anschütz,Alfred Wilhelm
Die Resection der Leber.,Chirurgie,Habilitation,7f8006b2-ccad-69ce-5dfc-4d4c607e7a6d,Anschütz,Alfred Wilhelm
Die Idee der Sprache in der Tradition des Humanismus von Dante bis Vico.,Philosophie,Habilitation,5072c368-92e6-9a7b-a2d5-4ea9179f7f4c,Apel,Karl-Otto
Dasein und Erkennen.,Philosophie,Dissertation,5072c368-92e6-9a7b-a2d5-4ea9179f7f4c,Apel,Karl-Otto
Der Mitralis des Sicardus nach seiner Bedeutung für die Ikonographie des Mittelalters.,Theologie,Dissertation,10e6175b-2151-4f30-a060-41e1a3e03961,Ficker,Gerhard
Hippolytus: Bischof und Märtyrer und seine exegetischen Grundsätze.,Theologie,Dissertation,10e6175b-2151-4f30-a060-41e1a3e03961,Ficker,Gerhard
Dorsualkonzept und Imbreviatur. Zur Geschichte der Notariatsurkunde in Italien,Geschichte,Dissertation,1d2b22f7-dff1-4295-8536-e3fa5b245d62,Kern,Fritz
Grundlagen der französischen Ausdehnungspolitik bis zum Jahre 1308,Mittlere und Neuere Geschichte,,1d2b22f7-dff1-4295-8536-e3fa5b245d62,Kern,Fritz
Vergleichende Versuche über die Einwirkung von Polycain und Novocain auf die Schmerzempfindung der menschlichen Haut.,Medizin,Dissertation,600b0d3f-33cd-37f4-d9c5-51fa25a5d3f7,Löhr,Berthold Christian
Experimentelle und klinische Untersuchungen über den Einfluss des O2-Gehaltes der Atemluft auf die Blutverteilung im kleinen Kreislauf.,Chirurgie,Habilitation,600b0d3f-33cd-37f4-d9c5-51fa25a5d3f7,Löhr,Berthold Christian
De induratione telae cellulosae recens natorum,Gynäkologie,,3819f844-089b-3973-9f12-4e200ef976d1,Michaelis,Gustav Adolf
Hoch-Bulgarien: Die ländlichen Siedlungen und die bäuerliche Wirtschaft.,Geographie,Habilitation,9703f96f-8f90-7d13-404a-4ec11e6641fb,Wilhelmy,Herbert
Sofia: Wandlungen einer Großstadt zwischen Orient und Okzident.,Geogaphie,Habilitation,9703f96f-8f90-7d13-404a-4ec11e6641fb,Wilhelmy,Herbert
Die Oberflächenformen des Iskergebietes.,Geographie,,9703f96f-8f90-7d13-404a-4ec11e6641fb,Wilhelmy,Herbert
Die Gasbehandlung bösartiger Geschwülste.,Pathologie,Habilitation,bd0afc0f-2d74-2e7f-3ccb-4d4c60c63bdf,Büngeler,Wilhelm Walter
Ueber Stirnlagen.,Medizin,Dissertation,bd0afc0f-2d74-2e7f-3ccb-4d4c60c63bdf,Büngeler,Wilhelm Walter
Die Problematik der statistischen Beweisführung auf dem Gebiet der Metereobiologie.,Physikalische Medizin und medizinische Bioklimatologie,Habilitation,5b71997d-a0bf-26c0-fbbc-4ed38bcc6f40,Jessel,Uwe Karl Albert Werner
Neue Untersuchungen und Ergebnisse im Rahmen des Ozonproblems.,Medizin,Dissertation,5b71997d-a0bf-26c0-fbbc-4ed38bcc6f40,Jessel,Uwe Karl Albert Werner
Beitrag zur Frage der Beeinflussung der Erythropoese (Reticulocytenneubildung) durch Sulfonamidtherapie.,Medizin,Dissertation,cd61fe11-123e-29f0-d3df-4e831a91bdb9,Pau,Hans
Experimentelle Untersuchungen über die Physiologie und Pathologie des Linsensystems.,Augenheilkunde,Habilitation,cd61fe11-123e-29f0-d3df-4e831a91bdb9,Pau,Hans
Ueber Lactonsäuren aus Valeraldehyd und Brenzweinsäure.,Chemie,Dissertation,b62f6516-cdcd-77a6-c042-4d4c6021e4a6,Feist,Franz
